s_n,model_no,protobuf_size,nakedbytes_size,flatbuffer_size,proto_naked,proto_flat
1,1,262,381,608,119,346
2,2,348,525,736,177,388
3,3,1217,1834,2324,617,1107
4,4,1160,1916,2168,756,1008
5,5,1792,2684,3312,892,1520
6,6,1837,2738,3372,901,1535
7,7,317,506,784,189,467
8,8,144,244,424,100,280
9,9,1940,2872,3548,932,1608
10,10,225,315,532,90,307
11,11,310,442,732,132,422
12,12,516,723,1032,207,516
13,13,516,723,1032,207,516
14,14,295,427,684,132,389
15,15,585,789,1068,204,483
16,16,369,526,820,157,451
17,17,300,441,748,141,448
18,18,213,300,484,87,271
19,19,343,501,828,158,485
20,101,1528,2188,2944,660,1416
21,102,1522,2187,2944,665,1422
22,103,1518,2187,2944,669,1426
23,111,1162,1654,2208,492,1046
24,112,1156,1653,2208,497,1052
25,113,1152,1653,2208,501,1056
26,120,1059,1498,2100,439,1041
27,121,1261,1705,2388,444,1127
28,122,731,1054,1480,323,749
29,123,1223,1565,2192,342,969
30,124,1176,1534,2180,358,1004
31,125,312,454,772,142,460
32,126,2130,2920,4104,790,1974
33,127,460,642,1020,182,560
34,128,678,903,1384,225,706
35,129,1996,2734,3956,738,1960
36,130,1997,2736,3960,739,1963
37,131,2078,2906,4236,828,2158
38,132,2221,3050,4244,829,2023
39,133,1061,1610,2372,549,1311
40,134,2268,3134,4548,866,2280
41,135,1976,2696,3964,720,1988
42,136,1978,2698,3964,720,1986
43,137,1995,2732,3956,737,1961
44,138,1995,2732,3956,737,1961
45,139,1994,2736,3972,742,1978
46,140,1994,2736,3972,742,1978
47,141,1977,2696,3964,719,1987
48,142,1977,2696,3964,719,1987
49,143,1976,2700,3980,724,2004
50,144,1976,2700,3980,724,2004
51,145,554,696,1012,142,458
52,160,697,974,1384,277,687
53,201,3857,5025,6476,1168,2619
54,202,3820,5001,6452,1181,2632
55,203,3819,5007,6460,1188,2641
56,204,3827,5008,6460,1181,2633
57,211,3115,4058,5020,943,1905
58,212,3099,4055,5016,956,1917
59,213,3098,4061,5024,963,1926
60,214,3106,4062,5024,956,1918
61,220,1167,1704,2296,537,1129
62,302,233,352,604,119,371
63,303,118,184,392,66,274
64,304,205,272,544,67,339
65,305,295,396,664,101,369
66,306,217,308,520,91,303
67,307,501,693,1028,192,527
68,308,244,319,560,75,316
69,401,557,846,1324,289,767
70,402,838,1260,1848,422,1010
71,403,607,922,1400,315,793
72,404,976,1466,2068,490,1092
73,501,644,917,1308,273,664
74,502,754,1087,1588,333,834
75,601,831,1152,1680,321,849
76,701,3323,4421,5788,1098,2465
77,702,2972,3633,4708,661,1736
78,703,676,864,1264,188,588
79,704,3265,3954,4920,689,1655
80,705,1138,1498,2108,360,970
81,706,884,1182,1704,298,820
82,707,1075,1444,2056,369,981
83,708,1075,1444,2056,369,981
84,709,1069,1446,2044,377,975
85,710,1069,1446,2044,377,975
86,711,921,1214,1776,293,855
87,712,824,1110,1608,286,784
88,713,396,531,780,135,384
89,714,971,1336,1792,365,821
90,715,268,367,560,99,292
91,801,149,207,340,58,191
92,802,2390,3197,4140,807,1750
93,803,2461,3226,4084,765,1623
94,804,2352,3158,4060,806,1708
95,805,1234,1700,2296,466,1062
96,806,208,294,464,86,256
97,807,2226,2962,3752,736,1526
98,808,199,282,456,83,257
99,809,193,278,452,85,259
100,63001,1720,2566,2936,846,1216
101,63002,193,296,528,103,335
102,64001,1482,1915,2364,433,882
103,64020,1737,2266,2980,529,1243
104,64101,322,431,568,109,246
105,64111,1076,1468,1988,392,912
106,64112,3768,4755,5824,987,2056
107,64410,1914,2490,3392,576,1478
108,64411,2890,3689,4964,799,2074
109,64412,2104,2609,3016,505,912
110,64413,259,390,716,131,457
111,64414,361,482,660,121,299
112,64415,239,312,484,73,245
